source	row_id	kind	k	credit_carried	credit_background	mean_cardinality	het_frac	mean_switches_per_window	frac_cells_gt1
sim	sim_ind0203		7	0.399737685918808	0.3047277331352234	7.97853515625	0.87939453125	4.87	0.0
sim	sim_ind0211		14	0.3570493757724762	0.31026366353034973	8.101328125	0.94474609375	4.8	0.0
sim	sim_ind0216		17	0.3465900719165802	0.3055998980998993	8.03123046875	0.94826171875	4.96	0.0
sim	sim_ind0218		20	0.3418242037296295	0.3030664026737213	8.04875	0.96162109375	4.96	0.0
sim	sim_ind0222		13	0.35435548424720764	0.3095329999923706	8.011484375	0.92626953125	4.96	0.0
sim	sim_ind0224		23	0.3366678059101105	0.29929688572883606	8.04265625	0.9716015625	5.2	0.0
sim	sim_ind0227		2	0.639404296875	0.30820223689079285	8.0592578125	0.47935546875	4.74	0.0
sim	sim_ind0235		3	0.5190624594688416	0.3059096038341522	7.9812890625	0.703671875	4.95	0.0
sim	sim_ind0247		14	0.35486048460006714	0.3070644736289978	8.03869140625	0.91833984375	5.24	0.0
sim	sim_ind0251		7	0.4019308090209961	0.3095381557941437	8.0756640625	0.85564453125	4.67	0.0
sim	sim_ind0270		12	0.362408846616745	0.31050291657447815	8.07494140625	0.91419921875	5.22	0.0
sim	sim_ind0273		20	0.3411914110183716	0.3040087819099426	8.03986328125	0.95181640625	5.09	0.0
sim	sim_ind0277		24	0.33522215485572815		8.04533203125	0.97361328125	5.24	0.0
sim	sim_ind0284		2	0.6342383027076721	0.30594727396965027	7.99931640625	0.5094140625	5.19	0.0
sim	sim_ind0285		21	0.3410249352455139	0.30611327290534973	8.07986328125	0.935546875	4.76	0.0
sim	sim_ind0292		23	0.3342374265193939	0.3147656321525574	8.0022265625	0.95849609375	4.88	0.0
sim	sim_ind0300		4	0.4743359386920929	0.30558788776397705	8.0091015625	0.75005859375	5.17	0.0
sim	sim_ind0305		3	0.5256249904632568	0.3087323307991028	8.06025390625	0.6476953125	5.02	0.0
sim	sim_ind0314		20	0.339846670627594	0.3015087842941284	8.00296875	0.9390625	5.0	0.0
sim	sim_ind0325		13	0.35539963841438293	0.30615234375	7.98787109375	0.94033203125	4.93	0.0
sim	sim_ind0326		13	0.3565354347229004	0.3062765896320343	8.00400390625	0.92953125	4.75	0.0
sim	sim_ind0333		8	0.39142823219299316	0.3089575171470642	8.07474609375	0.888984375	5.13	0.0
sim	sim_ind0336		16	0.34681394696235657	0.30592530965805054	7.99642578125	0.95671875	4.77	0.0
sim	sim_ind0339		13	0.35854417085647583	0.30856359004974365	8.0552734375	0.9384765625	5.24	0.0
sim	sim_ind0342		15	0.34892967343330383	0.3083289861679077	8.00890625	0.9100390625	4.74	0.0
sim	sim_ind0348		8	0.3866211175918579	0.30680662393569946	8.001875	0.8684765625	4.8	0.0
sim	sim_ind0355		24	0.33201006054878235		7.9682421875	0.95244140625	5.09	0.0
sim	sim_ind0357		23	0.33478686213493347	0.30617186427116394	8.00626953125	0.94453125	5.1	0.0
sim	sim_ind0361		21	0.33999255299568176	0.31471356749534607	8.083984375	0.95548828125	5.07	0.0
sim	sim_ind0366		4	0.47489747405052185	0.3071806728839874	8.043203125	0.731640625	4.88	0.0
sim	sim_ind0369		18	0.3447894752025604	0.3080175817012787	8.05431640625	0.957890625	4.89	0.0
sim	sim_ind0372		17	0.3451792299747467	0.31202009320259094	8.0521875	0.9483203125	4.94	0.0
sim	sim_ind0383		14	0.354248046875	0.3077167868614197	8.036640625	0.93638671875	5.24	0.0
sim	sim_ind0387		4	0.46596193313598633	0.3088632822036743	8.04111328125	0.76052734375	4.82	0.0
sim	sim_ind0392		12	0.3618440628051758	0.302996426820755	7.9780859375	0.9164453125	5.29	0.0
sim	sim_ind0393		2	0.6282031536102295	0.30869758129119873	8.04775390625	0.5334375	4.95	0.0
sim	sim_ind0402		20	0.3423212766647339	0.3076171875	8.07689453125	0.96826171875	4.99	0.0
sim	sim_ind0403		6	0.41993165016174316	0.3061317503452301	8.0299609375	0.867109375	5.16	0.0
sim	sim_ind0404		10	0.367976576089859	0.30954378843307495	8.01337890625	0.8941796875	4.96	0.0
sim	sim_ind0405		17	0.3443359434604645	0.3067326843738556	8.00083984375	0.9465625	4.96	0.0
sim	sim_ind0409		15	0.35191142559051514	0.30429255962371826	8.0173046875	0.93064453125	5.09	0.0
sim	sim_ind0410		23	0.33596891164779663	0.3065820336341858	8.0338671875	0.96744140625	4.84	0.0
sim	sim_ind0411		15	0.3526679277420044	0.30401691794395447	8.026171875	0.91408203125	5.22	0.0
