assemblyA	assemblyB	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
C076-T198	C081-T199	1	2	1102	0.5322718142750373	0.0	342528	0.738199504857997	0.8690997524289985	0.21289354446935724
C076-T198	C081-T199	1	3	1103	0.4651648916292975	0.0	342528	0.7570330016816144	0.8785165008408071	0.30163665452167415
C076-T198	C081-T199	1	4	1104	0.46224834174140506	0.0	342528	0.7174099635650224	0.8587049817825112	0.2626179465620329
C076-T198	C081-T199	2	0	1200	0.44449212911061287	0.0	342528	0.701160197122571	0.8505800985612855	0.26280479260089684
C076-T198	C081-T199	2	1	1201	0.48440711416292975	0.0	342528	0.723076653587444	0.861538326793722	0.24460774009715994
C076-T198	C081-T199	2	2	1202	0.5324119488041853	0.0	342528	0.7835067498131539	0.891753374906577	0.25953206745142005
C076-T198	C081-T199	2	3	1203	0.5687856175261584	0.0	342528	0.7475534846786248	0.8737767423393124	0.18614828568759342
C076-T198	C081-T199	2	4	1204	0.611514971038864	0.0	342528	0.7936986173393124	0.8968493086696562	0.19233756072496264
C076-T198	C081-T199	5	0	1500	0.5335797365470852	0.0	342528	0.7195849682361734	0.8597924841180867	0.19166316330343797
C076-T198	C081-T199	5	1	1501	0.5102619347907325	0.0	342528	0.7335896627428998	0.86679483137145	0.22912579409566516
C076-T198	C081-T199	5	2	1502	0.5082153867713004	0.0	342528	0.7544229960762332	0.8772114980381166	0.2525778914424514
C076-T198	C081-T199	5	3	1503	0.5203837350523169	0.0	342528	0.7596342488789237	0.8798171244394619	0.2460528774289985
C076-T198	C081-T199	5	4	1504	0.46385113041853515	0.0	342528	0.74253783632287	0.8712689181614349	0.28475336322869954
C076-T198	C081-T199	10	0	2000	0.5498441003363229	0.0	342528	0.7744622337443946	0.8872311168721974	0.2295461976831091
C076-T198	C081-T199	10	1	2001	0.46968714966367714	0.0	342528	0.7397205483931241	0.869860274196562	0.2757497197309417
C076-T198	C081-T199	10	2	2002	0.4984701980568012	0.0	342528	0.7355223514573991	0.8677611757286996	0.24272176289237668
C076-T198	C081-T199	10	3	2003	0.505871052877429	0.0	342528	0.7419685397982063	0.8709842698991032	0.24092628923766815
C076-T198	C081-T199	10	4	2004	0.5068052830717489	0.0	342528	0.763753620142003	0.8818768100710015	0.2640776812406577
